X,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62
WDR34,-1.36525,-1.665,-1.06275,-1.055,-1.1275,-1.26925,-1.01575,-1.209,-0.91075,-1.002,-0.96875,-2.2945,-0.99075,-0.73275,-1.2825,-2.2585,-1.388,-1.249,-1.86125,-1.09625,-2.05275,-2.5705,-0.821,-1.241,-0.9715,-1.341,-1.05625,-0.34125,-0.8085,-1.1275,-2.1125,-1.94575,-1.76225,-1.08675,-1.03125,-1.86625,-2.48625,-2.54625,-1.48025,-1.5455,-1.03925,-0.45625,-1.69375,0.86125,-0.748,-1.80425,-1.45125,-1.49275,-1.0715,-1.32475,-0.85825,-2.422,-2.20725,-0.73625,-1.427,-2.196,-0.7465,-1.94725,-1.805,-1.0635,-1.47525,-1.5035
LOC152573,-0.04375,-0.02125,0.3135,-2.1115,-1.4275,-0.9015,-1.90375,-1.1035,-2.04575,-1.50925,-2.0775,0.41125,-1.56775,-1.95525,-1.20575,0.20775,0.106,0.22725,0.09525,-2.28375,1.444,0.316,-1.69675,-2.34175,-3.2865,-0.031,-2.3385,-2.17975,-2.68675,-0.9495,0.211,0.53075,-1.37,-2.5365,-1.88375,-2.3605,-1.5255,0.14975,-0.491,-0.339,-0.2605,-2.2485,-0.84025,-1.191,-3.03525,0.1005,0.4435,-0.974,-2.05775,-0.51825,-2.4535,0.51575,-0.289,-3.43,-0.34875,0.52575,-2.2195,-1.01125,-1.623,-0.9165,0.27525,0.95
CDC25B,-1.84954545454545,-1.16218181818182,-2.34627272727273,-2.51981818181818,-1.99181818181818,-2.12772727272727,-2.43972727272727,-2.16663636363636,-2.25645454545455,-2.314,-2.23054545454545,-1.72345454545455,-2.17663636363636,-2.09245454545455,-1.68572727272727,-2.61527272727273,-2.50372727272727,-2.24590909090909,-2.34763636363636,-3.28118181818182,-2.36518181818182,-2.35609090909091,-1.39627272727273,-2.93427272727273,-2.24518181818182,-2.08518181818182,-1.80836363636364,-2.118,-1.74654545454545,-0.864,-2.49727272727273,-2.10381818181818,-2.53009090909091,-2.28718181818182,-1.84781818181818,-2.55927272727273,-2.37845454545455,-2.33072727272727,-2.38436363636364,-2.22636363636364,-1.88863636363636,-1.78918181818182,-2.12854545454545,-2.15009090909091,-2.62990909090909,-2,-1.95945454545455,-2.10527272727273,-2.16627272727273,-2.07072727272727,-2.03672727272727,-1.95927272727273,-2.01618181818182,-2.27354545454545,-1.90427272727273,-2.029,-2.25963636363636,-2.29681818181818,-2.484,-2.27236363636364,-1.52454545454545,-1.48545454545455
MAP1LC3C,2.52625,4.082,3.35075,0.8965,1.6695,2.7605,2.102,2.7355,2.228,2.748,1.8205,3.268,2.324,1.35325,2.14075,1.00075,2.97175,2.5015,2.453,2.25625,1.81325,4.05775,3.158,1.92425,1.52675,2.833,1.1075,1.9185,1.3115,1.78975,3.51875,4.1615,2.56575,1.13975,2.5755,1.41825,2.0965,5.00325,4.30725,3.1285,4.03425,2.2845,3.591,0.011,1.8095,3.25925,3.8385,2.9525,3.04925,2.732,0.822,4.5525,4.662,0.8495,4.22375,3.84,2.28575,4.437,2.683,2.955,3.5415,4.62225
CCDC95,-0.494,-0.383,-0.6575,-0.738,-0.536,-0.2215,-0.763,-1.1145,-0.705,-0.739,-0.803,-0.667,-0.598,-0.937,-0.284,-1.5315,-0.934,-0.803,-1.333,-0.756,-0.6275,-0.871,-0.809,-0.817,-0.356,-0.58,-0.432,-0.264,-0.088,-0.392,-1.2465,-0.526,-0.373,-0.396,-0.282,-1.584,-1.694,-0.96,-0.9845,-0.9765,-0.5015,0.02,-0.943,-0.4805,-0.632,-0.648,-0.7905,-0.5245,-0.1135,-0.6975,-0.4345,-0.6205,-0.3575,-0.289,-0.4565,-0.401,-0.3035,-0.2905,-1.8665,-0.781,-0.4075,-0.695
ABCD4,0.2695,0.67,0.0428333333333333,-0.141166666666667,0.247333333333333,0.0291666666666667,0.2795,0.0673333333333333,0.183666666666667,0.192666666666667,0.338333333333333,0.128333333333333,0.1205,0.0936666666666667,0.0721666666666666,0.244166666666667,0.232,0.555,0.859,-0.19,0.786666666666667,0.511166666666667,-0.298333333333333,0.149166666666667,0.237,0.366166666666667,0.3875,0.0145,0.29,0.479166666666667,0.684,0.1635,0.2025,0.0165,0.253333333333333,0.195666666666667,-0.131,0.312,0.715166666666667,0.4135,0.489166666666667,-0.0225,-0.120666666666667,-0.831166666666667,-0.216666666666667,0.438,0.489666666666667,0.464333333333333,0.252333333333333,0.212333333333333,0.235,0.474166666666667,0.1005,-0.366666666666667,0.170166666666667,-0.0601666666666667,-0.500333333333333,0.391,-0.215166666666667,0.0055,0.507,0.625833333333333
DIMT1L,-0.484,-0.707166666666667,-0.152166666666667,-0.255,-0.494666666666667,-0.547166666666667,-0.383333333333333,0.0123333333333333,-0.379166666666667,-0.155,-0.4245,-0.613333333333333,-0.297083333333333,-0.1145,-0.284583333333333,0.398333333333333,-0.480833333333333,-0.827416666666667,-0.20425,0.103333333333333,-0.544083333333333,-0.533333333333333,-0.0831666666666667,-0.411,-0.16425,-0.260833333333333,-0.458333333333333,-0.264416666666667,-0.2585,-0.253166666666667,-0.0408333333333333,-0.476416666666667,-0.341083333333333,0.0185833333333333,-0.243666666666667,0.0251666666666667,-0.04525,-0.13525,0.1105,-0.199416666666667,-0.633583333333333,-0.76775,-0.47825,0.308333333333333,-0.160083333333333,-0.373916666666667,-0.5375,-0.421833333333333,-0.29325,0.0993333333333333,-0.344666666666667,-0.36325,-0.260166666666667,0.111333333333333,0.01075,-0.49075,-0.365,-0.174416666666667,0.355333333333333,-0.28275,-0.146,-0.26625
TEK,2.417,3.058875,2.0605,1.52975,2.049125,2.489875,0.859875,1.933875,1.167125,1.578375,1.27775,3.3725,1.454125,1.069875,2.019875,2.6835,2.16725,2.6845,2.26775,1.4165,3.3145,3.5745,2.1485,1.252,1.45425,2.33475,1.58625,1.304625,1.116875,1.730625,2.677,3.46475,2.09975,1.55225,1.89975,1.66175,2.1735,2.715125,2.814875,2.6745,2.306875,1.387875,2.598,0.462875,1.8685,3.12475,2.794625,2.667375,1.51025,1.996375,1.71175,3.869625,3.323875,1.077,2.8145,3.0245,1.89,3.06375,1.937625,2.039125,3.037,3.598
CD160,1.6085,0.8305,0.415166666666667,0.740333333333333,1.62366666666667,0.626666666666667,0.485333333333333,1.156,0.425666666666667,0.742833333333333,0.849333333333333,0.605166666666667,0.938,1.69183333333333,0.355166666666667,0.996166666666667,1.2345,1.34033333333333,1.19883333333333,1.49666666666667,-0.0931666666666667,1.0235,0.935166666666667,1.14366666666667,0.979,1.463,1.20816666666667,0.9625,1.295,1.1165,0.6855,1.1995,0.573166666666667,1.7005,1.06483333333333,0.782666666666667,1.573,1.22633333333333,1.9624,1.50783333333333,1.27716666666667,1.01633333333333,0.799166666666667,1.3138,1.44783333333333,1.96383333333333,1.58283333333333,1.57833333333333,1.11033333333333,1.43133333333333,0.0343333333333333,1.5085,0.547,1.06433333333333,0.5405,1.4055,1.46933333333333,1.4005,2.24116666666667,1.1365,1.863,1.84366666666667
MT1JP,0.929333333333333,1.1295,2.26116666666667,0.695833333333333,0.471,1.50466666666667,1.50666666666667,0.152833333333333,1.2695,0.504833333333333,0.524,0.043,0.460666666666667,0.287666666666667,2.30166666666667,1.59933333333333,1.82066666666667,1.0435,1.04366666666667,1.51833333333333,0.216166666666667,1.31533333333333,0.9815,0.612166666666667,0.509333333333333,0.6445,1.28066666666667,3.2865,0.655833333333333,0.775833333333333,0.410166666666667,1.45283333333333,0.524666666666667,0.739333333333333,0.869,1.702,-0.200333333333333,-0.204666666666667,0.984666666666667,1.24616666666667,0.539833333333333,0.593,0.772666666666667,1.03033333333333,1.54316666666667,1.14016666666667,0.431833333333333,1.6405,0.993,0.864833333333333,0.122,0.538,2.02416666666667,1.6595,1.613,1.27966666666667,2.596,2.11,1.0875,1.22083333333333,1.26133333333333,1.43016666666667
